,Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0,0.025,0.72,25.0,41852.0,199070864638.0,0.044,199070864638.0,451.0,0.023,0.1,0.08,72.0,69.0,0.9,0.272,0.681,0.047,0.682,Africa,Algeria
1,0.046,0.521,66.0,13576.0,104115863405.0,0.034,104115863405.0,282.0,0.107,0.1,0.188,53.0,50.0,0.5,0.477,0.499,0.024,0.409,Africa,Angola
3,0.024,0.195,60.0,2215.0,15292424757.0,0.052,15292424757.0,152.0,0.039,0.1,0.11,46.0,47.0,1.5,0.34,0.625,0.035,0.565,Africa,Botswana
10,0.044,3.391,65.0,24497.0,23831631365.0,0.061,23831631365.0,336.0,0.09,0.0,0.438,51.0,48.0,0.2,0.453,0.519,0.028,0.404,Africa,"Congo, Dem. Rep."
14,0.024,0.436,8.0,77649.0,236000735704.0,0.049,236000735704.0,433.0,0.019,0.4,0.11,73.0,68.0,1.1,0.314,0.631,0.056,0.43,Africa,"Egypt, Arab Rep."
23,0.036,0.493,33.0,20179.0,34313315840.0,0.044,34313315840.0,393.0,0.05,0.3,0.15,62.0,59.0,0.7,0.425,0.549,0.026,0.24,Africa,Kenya
33,0.04,0.375,13.0,10202.0,12547888400.0,0.064,12547888400.0,230.0,0.068,0.0,0.191,50.0,49.0,0.3,0.454,0.514,0.032,0.312,Africa,Mozambique
34,0.027,0.218,66.0,1589.0,12451760766.0,0.086,12451760766.0,339.0,0.036,0.1,0.087,66.0,61.0,1.0,0.371,0.594,0.035,0.426,Africa,Namibia
36,0.042,0.327,28.0,118325.0,411743801712.0,0.057,411743801712.0,938.0,0.079,0.3,0.16,52.0,51.0,0.6,0.441,0.531,0.027,0.444,Africa,Nigeria
43,0.021,0.324,19.0,141372.0,403894316555.0,0.087,403894316555.0,200.0,0.034,0.3,0.09,57.0,53.0,1.2,0.296,0.651,0.053,0.627,Africa,South Africa
47,0.04,0.449,26.0,20747.0,23874165047.0,0.074,23874165047.0,172.0,0.039,0.0,0.15,61.0,59.0,0.6,0.449,0.52,0.031,0.288,Africa,Tanzania
51,0.043,0.14400000000000002,18.0,8462.0,19201691493.0,0.062,19201691493.0,183.0,0.059,0.1,0.188,57.0,54.0,0.6,0.468,0.505,0.026,0.392,Africa,Zambia
54,0.014,0.38799999999999996,8.0,2716.0,10142342770.0,0.037,10142342770.0,500.0,0.015,0.3,0.178,78.0,71.0,1.1,0.204,0.692,0.104,0.634,Asia,Armenia
55,0.019,0.4,8.0,12561.0,65951627200.0,0.05,65951627200.0,225.0,0.032,0.5,0.19,74.0,68.0,1.1,0.224,0.718,0.058,0.536,Asia,Azerbaijan
56,0.021,0.35,19.0,31294.0,111905616039.0,0.038,111905616039.0,302.0,0.037,0.1,0.133,71.0,69.0,0.6,0.311,0.642,0.047,0.312,Asia,Bangladesh
58,0.016,0.168,101.0,3832.0,16691360399.0,0.022,16691360399.0,96.0,0.008,0.6,0.055,80.0,76.0,1.1,0.262,0.7,0.038,0.759,Asia,Brunei Darussalam
60,0.012,0.635,38.0,2727728.0,7321891954613.0,0.051,7321891954613.0,358.0,0.013,0.4,0.066,76.0,74.0,0.7,0.18,0.735,0.085,0.506,Asia,China
61,0.014,0.165,2.0,3543.0,14434619972.0,0.094,14434619972.0,387.0,0.014,0.3,0.15,78.0,70.0,1.0,0.174,0.684,0.142,0.53,Asia,Georgia
